t09,t10,t19,t20,t17,t21,t22,t42,t38,t39,t40,t36,t35,t32,t43,t44,t30,t46,t69,t55,t31,t70,t65,t56,t47,t37,t62,t64,t11,t05,t15,t13,t52,t41,t24,t23,t34,t26,t27,t71,t28,t48,t68,t59,t16,t45,t66,t14,t29,t25,t60,t18,t33,t12,t57,t58,t06,t04,t07,t01,t02,t08,t03,label
0,5,0,4,5,6,3,7,0,7,2,9,0,3,5,5,0,5,5,8,0,5,8,10,3,1,3,0,2,3,2,0,10,2,3,3,2,3,3,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_136
0,5,0,4,5,5,2,8,0,6,5,9,0,0,2,2,0,15,8,0,0,2,15,0,4,5,5,0,2,0,1,0,0,0,3,3,2,3,3,0,3,5,5,0,1,3,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_137
3,5,2,4,6,7,3,13,3,12,7,17,1,8,9,9,3,9,2,12,4,3,9,14,3,5,6,5,1,1,1,1,3,7,3,3,3,3,3,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_138
3,5,1,5,7,8,4,14,2,18,6,22,0,0,7,7,1,12,3,0,0,6,14,0,6,7,8,5,2,0,0,0,0,0,4,4,8,4,4,1,3,7,7,0,1,5,3,2,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,Anomalous_139
2,5,1,5,6,6,4,5,2,8,3,13,4,4,4,4,1,6,8,5,1,1,8,6,0,2,2,1,2,1,1,0,4,0,1,1,3,1,1,1,0,1,1,3,1,1,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Anomalous_14
1,5,0,5,7,5,0,7,1,8,4,14,2,2,1,1,0,4,7,4,0,4,12,11,7,7,10,1,3,4,2,0,4,3,2,2,4,2,2,1,1,5,5,0,3,7,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_140
5,5,2,4,5,6,3,9,4,13,5,21,8,7,1,1,3,8,4,11,4,4,8,10,1,2,4,4,3,2,2,1,5,4,2,2,6,2,2,1,1,2,2,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Anomalous_141
0,5,0,5,5,5,3,12,0,10,6,11,0,4,3,3,0,7,1,12,0,1,7,13,3,5,5,0,1,1,0,0,6,7,1,1,2,1,1,0,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_142
0,5,0,5,6,6,2,16,0,7,5,11,0,0,1,1,0,13,4,0,0,3,15,0,9,11,13,0,3,2,0,0,0,0,3,3,3,3,3,1,2,10,10,0,3,9,2,1,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_143
0,5,0,4,6,6,2,10,0,10,4,18,0,2,3,3,0,7,2,13,0,2,7,12,2,2,3,0,1,1,1,0,6,5,3,3,3,3,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_144
5,5,1,4,5,6,3,14,5,11,0,16,5,5,8,8,2,6,2,4,1,2,6,3,2,1,3,3,4,1,2,1,1,8,2,2,1,2,2,0,2,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Anomalous_145
0,5,0,4,5,5,2,6,0,12,6,15,0,0,5,5,0,6,4,4,0,3,9,10,5,4,6,0,3,4,2,0,0,0,2,2,3,2,2,0,2,4,4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_146
3,5,1,4,5,6,3,9,2,4,3,5,0,0,1,1,2,7,9,3,0,7,7,3,5,3,7,0,3,2,1,1,0,0,2,2,1,2,2,2,0,2,2,0,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Anomalous_147
4,5,2,4,5,5,1,10,3,5,3,7,2,1,1,1,4,6,1,9,2,2,6,8,2,2,3,2,2,2,1,1,2,6,3,3,4,3,3,1,2,3,3,0,1,1,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Anomalous_148
1,5,1,3,4,7,4,7,0,5,1,9,0,1,4,4,1,11,3,25,0,7,11,23,1,1,1,0,3,3,5,0,10,2,3,3,1,3,3,2,1,1,1,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_149
4,5,4,4,4,5,2,9,4,30,4,36,5,15,10,10,0,12,4,10,6,4,12,10,2,3,4,3,1,2,2,0,1,4,1,1,8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_15
0,5,0,3,5,6,2,5,0,6,4,9,0,2,3,3,0,5,3,8,0,3,10,13,5,5,6,0,4,3,2,0,5,1,3,3,4,3,3,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_150
0,5,0,5,6,5,2,7,0,8,2,11,0,2,2,2,0,5,2,1,0,2,5,0,0,1,1,0,0,0,0,0,0,2,3,3,2,3,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_151
0,5,0,4,4,5,3,9,0,13,3,19,0,0,10,10,0,6,5,0,0,2,6,0,3,1,3,0,2,2,2,0,0,0,1,1,0,1,1,1,0,2,2,0,0,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_152
1,5,0,5,6,6,3,14,1,19,2,26,2,8,14,14,0,6,2,3,0,2,5,2,0,3,4,1,3,1,0,0,1,8,3,3,1,3,3,0,3,2,2,0,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_153
0,5,0,4,5,5,1,5,0,5,1,6,0,2,3,3,0,9,3,15,0,2,9,15,3,3,4,0,5,4,3,0,4,2,4,4,3,4,4,2,2,3,3,0,2,2,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_154
0,5,0,4,6,12,5,16,0,3,2,4,0,0,0,0,0,9,2,14,0,3,9,13,4,4,7,0,3,1,1,0,1,6,3,3,3,3,3,2,1,6,6,0,0,6,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_155
3,5,2,5,6,5,3,10,3,9,3,12,0,2,4,4,3,7,0,15,2,4,7,14,2,2,3,2,1,1,0,0,5,5,1,1,4,1,1,0,1,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_156
3,5,1,4,5,6,2,7,3,6,5,8,2,2,2,2,1,8,4,10,1,3,9,12,5,5,5,3,4,2,2,0,6,2,3,3,3,3,3,1,2,5,5,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Anomalous_157
0,5,0,3,3,5,3,9,0,14,7,17,0,6,2,2,0,12,5,20,0,2,12,21,5,3,5,0,2,4,4,0,8,4,0,0,4,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_158
0,5,0,4,6,5,2,12,0,11,4,15,0,0,5,5,0,9,4,0,0,2,9,0,2,3,3,0,1,1,1,0,0,0,2,2,4,2,2,0,2,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_159
0,5,0,4,4,13,4,23,0,10,2,12,0,3,5,5,0,10,8,14,0,1,12,16,5,5,5,0,5,0,2,0,9,10,5,5,2,5,5,0,5,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_16
3,5,1,4,4,5,4,5,3,5,3,6,0,0,1,1,1,9,0,13,3,3,8,12,7,6,7,4,3,1,2,0,8,0,0,0,0,0,0,0,0,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_160
1,5,1,5,6,7,3,9,1,4,5,7,0,0,1,1,0,7,3,0,0,1,8,0,3,2,4,0,1,0,0,0,0,0,3,3,1,3,3,1,2,3,3,0,0,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Anomalous_161
2,5,0,5,6,6,3,9,2,7,5,11,1,2,3,3,2,11,5,22,1,2,11,23,3,3,6,1,4,5,1,0,4,3,1,1,2,1,1,0,1,6,6,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Anomalous_162
0,5,0,3,5,5,3,10,0,7,3,9,0,2,4,4,0,14,5,22,0,5,14,21,4,1,4,0,4,7,5,0,8,5,2,2,2,2,2,0,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_163
0,5,0,4,6,5,2,12,0,11,4,15,0,0,5,5,0,9,4,0,0,2,9,0,2,3,3,0,1,1,1,0,0,0,2,2,4,2,2,0,2,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_164
1,5,1,5,8,6,2,13,1,10,5,15,0,0,4,4,1,11,5,25,0,3,10,23,6,6,6,2,3,2,2,0,0,0,4,4,6,4,4,0,4,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_165
0,5,0,3,4,8,6,14,0,7,5,11,0,1,2,2,0,6,2,5,0,1,5,3,2,3,3,0,3,2,2,0,0,6,1,1,3,1,1,0,1,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_166
0,5,0,5,8,5,1,9,0,13,3,25,0,8,9,9,0,10,3,14,0,3,10,14,6,3,7,0,3,2,0,0,9,4,4,4,5,4,4,0,4,5,5,0,3,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_167
4,5,4,4,4,5,2,9,4,30,4,36,5,15,10,10,0,12,4,10,6,4,12,10,2,3,4,3,1,2,2,0,1,4,1,1,8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_168
0,5,0,5,10,12,5,13,0,17,8,19,0,0,5,5,0,6,1,4,0,2,6,6,7,6,8,0,1,2,1,0,0,0,5,5,8,5,5,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_169
0,5,0,5,10,12,5,13,0,17,8,19,0,0,5,5,0,6,1,4,0,2,6,6,7,6,8,0,1,2,1,0,0,0,5,5,8,5,5,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_17
3,5,1,4,5,8,2,12,3,8,7,11,3,1,0,0,2,6,3,6,2,1,6,8,5,3,7,6,3,3,3,0,3,5,4,4,2,4,4,1,3,2,2,0,0,3,3,2,3,3,2,0,1,2,0,0,0,0,0,0,0,0,0,Anomalous_170
0,5,0,5,7,5,2,5,0,4,4,4,0,0,1,1,0,7,4,8,0,2,6,10,4,3,7,0,2,3,1,0,0,0,3,3,2,3,3,1,2,4,4,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_171
0,5,0,4,4,5,3,9,0,13,3,19,0,0,10,10,0,6,5,0,0,2,6,0,3,1,3,0,2,2,2,0,0,0,1,1,0,1,1,1,0,2,2,0,0,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_172
0,5,0,4,4,5,4,13,0,19,5,23,0,0,8,8,0,6,3,1,0,2,5,0,0,0,2,0,2,1,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_173
3,5,1,3,3,7,3,8,3,12,3,14,0,5,9,9,2,4,4,1,0,2,7,3,4,7,8,3,3,1,2,2,1,0,3,3,1,3,3,1,2,7,7,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Anomalous_174
0,5,0,5,8,5,1,5,0,9,4,15,0,0,5,5,0,6,2,16,0,3,6,15,2,2,2,0,3,2,0,0,0,0,4,4,1,4,4,2,2,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_175
2,5,1,2,3,5,3,10,2,11,2,14,0,0,4,4,2,8,2,0,0,2,8,0,3,1,4,2,3,3,5,1,0,0,1,1,3,1,1,0,1,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_176
0,5,0,5,7,9,3,15,0,14,4,34,0,0,10,10,0,5,0,3,0,3,5,2,3,3,3,0,2,1,0,0,0,0,3,3,2,3,3,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_177
0,5,0,4,5,5,1,6,0,6,2,7,0,0,4,4,0,7,2,6,0,6,8,6,0,2,2,0,4,3,5,0,0,0,2,2,1,2,2,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_178
3,5,1,3,3,7,3,8,3,12,3,14,0,5,9,9,2,4,4,1,0,2,7,3,4,7,8,3,3,1,2,2,1,0,3,3,1,3,3,1,2,7,7,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Anomalous_179
3,5,1,4,5,8,2,12,3,8,7,11,3,1,0,0,2,6,3,6,2,1,6,8,5,3,7,6,3,3,3,0,3,5,4,4,2,4,4,1,3,2,2,0,0,3,3,2,3,3,2,0,1,2,0,0,0,0,0,0,0,0,0,Anomalous_18
0,5,0,4,7,7,1,7,0,7,1,10,0,3,5,5,0,5,5,10,0,4,6,8,4,3,6,0,4,6,4,0,5,3,4,4,3,4,4,3,1,4,4,0,2,6,2,1,1,1,3,0,0,0,0,5,0,0,0,0,0,0,0,Anomalous_180
0,5,0,5,6,6,2,16,0,7,5,11,0,0,1,1,0,13,4,0,0,3,15,0,9,11,13,0,3,2,0,0,0,0,3,3,3,3,3,1,2,10,10,0,3,9,2,1,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_181
0,5,0,5,7,9,5,15,0,9,6,11,0,3,4,4,0,10,6,14,0,6,9,12,3,3,4,0,1,0,0,0,9,6,3,3,2,3,3,0,3,3,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_182
0,5,0,5,7,5,3,8,0,11,5,15,0,3,2,2,0,9,1,18,0,3,9,19,4,4,5,0,0,0,0,0,9,4,2,2,4,2,2,1,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_183
2,5,2,4,4,10,7,10,1,2,1,4,0,0,1,1,1,4,2,0,0,4,4,0,0,1,1,0,1,0,1,0,0,0,3,3,0,3,3,3,0,1,1,0,0,1,5,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Anomalous_184
1,5,0,4,4,6,3,10,1,7,6,12,1,2,3,3,1,15,3,20,2,7,12,17,6,7,7,1,2,2,1,0,7,4,2,2,0,2,2,0,2,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_185
1,5,1,4,6,8,4,8,1,12,5,17,0,0,9,9,1,6,4,0,0,2,5,0,2,4,4,1,2,0,3,0,0,0,3,3,2,3,3,1,2,3,3,0,1,1,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_186
2,5,0,3,4,5,1,5,2,4,3,4,0,0,2,2,0,6,6,8,0,4,8,10,9,5,11,8,3,1,2,1,2,1,2,2,1,2,2,1,1,6,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_187
3,5,1,4,5,8,2,12,3,8,7,11,3,1,0,0,2,6,3,6,2,1,6,8,5,3,7,6,3,3,3,0,3,5,4,4,2,4,4,1,3,2,2,0,0,3,3,2,3,3,2,0,1,2,0,0,0,0,0,0,0,0,0,Anomalous_188
3,5,2,4,5,7,2,11,2,12,4,16,3,6,9,9,1,8,7,11,4,4,9,13,4,5,6,3,2,1,1,1,6,5,5,5,2,5,5,1,4,5,5,6,1,4,4,1,4,2,3,2,2,0,4,5,0,0,0,0,0,0,0,Anomalous_189
