t11,t21,t35,t41,t51,t61,t71,t81,t91,t32,t26,t36,t62,t54,t66,t75,t82,t31,t44,t65,t76,t74,t64,t53,t43,t34,t24,t73,t63,t52,t42,t33,t23,t72,t25,t22,label
0,5,2,5,5,4,4,0,0,3,3,3,5,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_169
0,2,2,4,4,3,4,0,0,3,5,2,6,4,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_17
5,1,5,9,6,0,6,5,5,5,7,2,11,11,6,4,6,0,0,5,0,6,6,6,2,2,2,1,1,0,4,4,4,0,0,0,Anomalous_170
5,5,1,5,5,1,5,5,5,2,5,4,3,5,3,0,5,3,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_171
0,0,0,3,3,0,3,0,0,1,2,2,2,2,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_172
5,7,6,7,10,4,10,3,5,4,4,1,9,5,4,4,4,0,1,1,1,1,1,1,0,0,0,7,7,0,11,4,4,0,0,0,Anomalous_173
5,5,5,5,5,2,5,4,5,2,5,3,9,5,1,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_174
5,0,4,3,3,1,3,3,5,0,3,1,5,3,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_175
5,4,4,5,5,2,5,5,5,3,6,2,7,5,2,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_176
5,4,4,5,5,2,5,5,5,3,6,2,7,5,2,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_177
0,0,8,8,11,4,11,0,0,3,6,3,10,17,9,11,0,0,0,8,0,12,12,0,0,2,2,6,6,0,0,3,3,0,0,0,Anomalous_178
5,5,3,5,5,0,4,5,5,2,5,3,5,5,3,1,5,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_179
5,6,3,5,5,0,4,5,5,1,5,2,5,5,2,0,5,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_18
0,5,4,5,5,4,5,0,0,1,5,1,1,5,0,0,0,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_180
0,4,5,5,4,5,5,0,0,2,5,1,3,5,3,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_181
5,20,7,20,13,7,13,5,5,10,12,5,6,14,8,0,5,10,12,6,14,9,9,9,7,7,7,8,8,8,14,15,15,0,0,0,Anomalous_182
0,7,9,7,11,4,10,0,0,4,10,4,16,8,6,8,0,0,0,2,0,3,3,0,0,5,5,5,5,0,0,2,2,0,0,0,Anomalous_183
5,4,4,4,4,1,5,4,5,2,3,1,6,2,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_184
5,7,4,9,12,4,12,5,6,3,11,4,5,14,8,0,5,5,11,6,7,8,9,9,5,6,6,7,7,7,4,4,4,0,0,0,Anomalous_185
5,6,3,6,7,4,7,5,5,5,8,6,10,8,3,7,5,0,0,5,0,3,3,3,3,3,3,2,2,0,3,1,1,0,0,0,Anomalous_186
5,10,9,10,14,9,14,5,5,3,6,4,11,8,3,8,5,0,0,5,0,3,3,3,1,1,1,9,9,0,14,5,5,0,0,0,Anomalous_187
4,3,1,5,5,1,5,4,4,3,4,3,7,5,0,2,4,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_188
5,3,3,4,4,1,5,4,5,2,3,1,5,3,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_189
5,3,2,3,3,1,3,3,5,1,5,5,7,5,1,6,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_19
5,1,0,5,5,0,5,5,5,2,5,4,3,5,2,0,5,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_190
0,1,6,8,8,2,8,0,0,4,14,7,17,11,8,3,0,0,0,3,0,6,6,0,0,9,9,3,3,0,0,3,3,0,0,0,Anomalous_191
6,2,4,5,5,1,5,6,5,3,5,0,8,4,1,2,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_192
0,4,3,5,5,2,5,0,0,3,5,1,3,5,5,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_193
5,5,1,5,7,2,7,4,5,2,5,4,4,7,2,0,3,3,5,4,6,3,3,3,2,2,2,3,3,3,1,1,1,0,0,0,Anomalous_194
0,6,5,5,5,2,5,0,0,3,5,0,3,5,1,0,0,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_195
0,4,3,5,5,1,5,0,0,3,5,1,7,5,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_196
3,11,7,14,8,3,7,1,3,2,9,4,11,5,3,1,1,8,2,2,2,1,1,0,0,5,5,4,4,3,9,11,11,0,0,0,Anomalous_197
5,5,2,5,5,3,5,5,5,2,3,1,2,2,1,0,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_198
5,5,3,5,5,5,5,5,5,3,5,2,1,5,3,0,5,3,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_199
0,1,4,3,3,1,4,0,0,3,3,0,1,3,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_2
0,4,7,10,12,4,12,0,0,6,16,8,13,16,7,2,0,2,10,9,5,12,11,0,0,12,12,7,7,0,0,5,5,0,0,0,Anomalous_20
0,3,1,5,5,2,5,0,0,2,5,1,4,5,4,0,0,3,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_21
0,5,4,8,9,4,9,0,0,4,9,0,2,9,6,0,0,4,9,3,5,4,4,0,0,4,4,4,4,0,0,3,3,0,0,0,Anomalous_22
5,2,6,5,5,1,5,4,5,1,5,1,8,5,3,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_23
5,1,2,3,4,1,4,4,5,2,3,2,3,3,2,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_24
5,0,4,4,4,3,4,4,5,1,4,1,4,4,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_25
5,2,2,4,5,1,5,5,5,5,5,2,4,6,3,0,5,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_26
5,1,0,5,5,2,5,6,5,3,3,3,2,3,1,0,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_27
5,0,1,2,2,1,2,2,5,2,3,0,1,3,1,0,3,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_28
5,20,7,20,13,7,13,5,5,10,12,5,6,14,8,0,5,10,12,6,14,9,9,9,7,7,7,8,8,8,14,15,15,0,0,0,Anomalous_29
5,5,2,5,5,5,5,5,5,3,5,5,5,5,1,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_3
0,3,6,5,5,0,5,0,0,1,6,3,9,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_30
5,3,2,3,3,1,3,3,5,1,5,5,7,5,1,6,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_31
4,0,5,0,0,0,0,0,5,0,5,0,0,5,4,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_32
0,0,8,8,11,4,11,0,0,3,6,3,10,17,9,11,0,0,0,8,0,12,12,0,0,2,2,6,6,0,0,3,3,0,0,0,Anomalous_33
5,6,5,5,5,2,5,5,5,3,5,2,7,5,1,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_34
0,3,2,5,5,1,5,0,0,2,5,2,3,5,4,0,0,2,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_35
5,2,3,3,3,0,3,3,5,1,5,1,5,5,2,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_36
0,3,6,5,5,0,5,0,0,1,6,3,9,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_37
0,3,1,11,9,2,9,0,0,8,13,6,6,15,4,0,0,3,14,11,4,10,10,0,0,9,9,4,4,0,0,6,6,0,0,0,Anomalous_38
0,6,5,5,5,2,5,0,0,3,5,0,3,5,1,0,0,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_39
0,2,5,3,3,1,1,0,0,1,4,1,4,4,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_4
0,5,3,5,5,3,5,0,0,1,5,2,2,5,4,0,0,4,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_40
5,7,3,7,9,4,9,4,5,6,8,6,13,8,7,7,4,0,0,1,0,4,4,4,4,4,4,5,5,0,8,3,3,0,0,0,Anomalous_41
5,7,6,7,8,4,8,5,5,3,10,4,4,7,5,0,5,4,10,2,7,2,2,2,5,5,5,3,3,3,2,1,2,0,0,0,Anomalous_42
0,0,0,3,3,0,3,0,0,1,2,2,2,2,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_43
5,5,3,5,5,4,5,5,5,5,5,2,1,5,2,0,5,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_44
0,5,4,5,5,3,5,0,0,5,6,1,2,5,2,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_45
5,5,6,5,5,3,5,5,5,2,5,3,7,5,1,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_46
0,6,7,6,9,6,9,0,0,1,8,7,13,11,6,11,0,0,0,5,0,6,6,0,0,4,4,4,4,0,0,1,1,0,0,0,Anomalous_47
0,11,5,11,13,9,13,0,0,7,11,6,4,12,3,0,0,4,11,9,12,7,7,0,0,6,7,8,8,0,0,6,6,0,0,0,Anomalous_48
5,10,5,10,11,6,11,5,5,6,9,4,5,14,8,0,5,4,10,6,14,9,9,9,4,4,4,6,6,6,5,5,5,0,0,0,Anomalous_49
5,7,6,7,8,4,8,5,5,3,10,4,4,7,5,0,5,4,10,2,7,2,2,2,5,5,5,3,3,3,2,1,2,0,0,0,Anomalous_5
0,7,8,6,7,5,6,0,0,3,8,3,9,7,5,7,0,0,0,2,0,2,2,0,0,3,3,2,2,0,0,1,1,0,0,0,Anomalous_50
5,4,6,8,11,0,10,5,5,5,7,1,17,7,3,2,5,0,0,4,0,2,2,2,2,2,2,6,7,0,9,3,3,0,0,0,Anomalous_51
0,3,1,11,9,2,9,0,0,8,13,6,6,15,4,0,0,3,14,11,4,10,10,0,0,9,9,4,4,0,0,6,6,0,0,0,Anomalous_52
5,5,6,5,5,3,5,5,5,2,5,3,7,5,1,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_53
0,3,6,5,5,0,5,0,0,1,6,3,9,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_54
0,8,6,8,9,4,9,0,0,5,9,3,5,6,2,0,0,3,9,4,6,1,1,0,0,4,4,5,4,0,0,3,3,0,0,0,Anomalous_55
0,4,4,7,14,1,13,0,0,3,9,2,9,11,5,0,0,4,9,6,5,5,6,0,0,4,4,8,8,0,0,2,3,0,0,0,Anomalous_56
5,8,7,8,11,7,11,5,5,3,10,7,8,8,5,3,5,1,7,3,5,3,3,3,5,5,6,6,6,0,9,3,3,0,0,0,Anomalous_57
0,4,5,6,7,1,7,0,0,1,8,2,5,13,6,0,0,6,8,7,4,8,8,0,0,3,3,2,2,0,0,2,2,0,0,0,Anomalous_58
0,4,0,5,5,3,5,0,0,1,3,3,2,3,0,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_59
5,1,2,4,4,2,4,4,4,3,4,1,5,4,1,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_6
5,3,2,5,5,2,5,5,5,3,6,2,1,5,0,0,5,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_60
0,4,3,5,5,1,5,0,0,3,5,1,7,5,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_61
0,1,6,5,5,0,5,0,0,2,5,0,6,5,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_62
0,2,1,4,4,1,4,0,0,3,3,0,2,3,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_63
0,0,8,8,11,4,11,0,0,3,6,3,10,17,9,11,0,0,0,8,0,12,12,0,0,2,2,6,6,0,0,3,3,0,0,0,Anomalous_64
0,5,7,9,11,3,10,0,0,5,10,3,14,14,7,8,0,0,0,7,0,9,9,0,0,5,5,6,6,0,0,4,4,0,0,0,Anomalous_65
0,3,3,4,4,1,4,0,0,3,3,0,3,3,1,0,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_66
0,4,2,3,4,2,3,0,0,1,4,3,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_67
5,5,3,5,5,4,5,5,5,5,5,2,1,5,2,0,5,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_68
0,2,5,6,7,2,7,0,0,5,11,4,1,16,7,0,0,1,10,10,10,12,12,0,0,6,6,2,2,0,0,1,1,0,0,0,Anomalous_69
0,2,4,4,5,2,3,0,0,1,2,0,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_7
5,7,6,7,10,4,10,3,5,4,4,1,9,5,4,4,4,0,1,1,1,1,1,1,0,0,0,7,7,0,11,4,4,0,0,0,Anomalous_70
4,3,1,5,5,1,5,4,4,3,4,3,7,5,0,2,4,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_71
0,4,2,3,4,2,3,0,0,1,4,3,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_72
5,0,1,3,3,2,3,3,5,1,4,1,0,4,1,0,4,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_73
